 0 kb	 0.0% Assets/Scenes/Scenes_WoundCare.unity
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/LampBase.mat
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Textures/DoorsOrFine.jpg
 0 kb	 0.0% Assets/Resources_moved/Models/Sink_active.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/BrushProthesis_Small.fbx
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Building.FBX
 0 kb	 0.0% Assets/gui_flat_light/Font/Poppins-Medium.ttf
 0 kb	 0.0% Assets/Resources_moved/Models/CannulaTwoParts_Separate.fbx
 0 kb	 0.0% Assets/Resources_moved/Prefabs/gloves_folded.prefab
 0 kb	 0.0% Assets/Loading Screen/Content/Art/Animations/ContinueButtonLoop.anim
 0 kb	 0.0% Assets/Resources_moved/Materials/safe_needle_diff.mat
 0 kb	 0.0% Assets/Resources_moved/Models/blink.mat
 0 kb	 0.0% Assets/gui_flat_light/Font/Poppins-Bold.ttf
 0 kb	 0.0% Assets/Resources_moved/Materials/fraxi_pakage.mat
 0 kb	 0.0% Assets/Standard Assets/sky5X/sky5X_textures/skyX53+z.png
 0 kb	 0.0% Assets/Resources_moved/Textures/FlashlightDiffuse.png
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/Underwear_Height.png
 0 kb	 0.0% Assets/Resources_moved/Models/gloves_folded.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/clothAroundAmpoule.fbx
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Materials/HospitalFloor.mat
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Switch.FBX
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/Sill_material.mat
 0 kb	 0.0% Assets/Resources_moved/Models/StomaPlaster.fbx
 0 kb	 0.0% Assets/Resources_moved/Textures/magazine_side.JPG
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Materials/HospitalWalls.mat
 0 kb	 0.0% Assets/Resources_moved/Models/BedsorePlaster.fbx
 0 kb	 0.0% Assets/Resources_moved/Materials/hygienePumpDiff.mat
 0 kb	 0.0% Assets/Resources_moved/Textures/StomaPlaster_Diff_Ready.png
 0 kb	 0.0% Assets/Resources_moved/Textures/BladderSpoolBag.png
 0 kb	 0.0% Assets/Resources/Animations/objects/catheter_ext.controller
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/No Name 1.mat
 0 kb	 0.0% Assets/Resources_moved/Textures/syringePlungerNorm.png
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Cart hospital.FBX
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/RailCurtains.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/WheelInner.mat
 0 kb	 0.0% Assets/Resources_moved/Materials/syringePlungerColor.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/SyringeWithAbsorptionNeedleCap.prefab
 0 kb	 0.0% Assets/Resources_moved/Prefabs/GauzeSmall.prefab
 0 kb	 0.0% Assets/Resources/Animations/objects/BedsorePlaster_OnBody.controller
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/BedBorderMain.mat
 0 kb	 0.0% Assets/Resources_moved/Models/cloth_02_folded.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/HeadAndFace_Diffuse.png
 0 kb	 0.0% Assets/Resources_moved/Textures/cloth_02.jpg
 0 kb	 0.0% Assets/Resources/Animations/rest/NoInternet_pop.anim
 0 kb	 0.0% Assets/Resources_moved/Textures/Blanket_2jpg.jpg
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Prefabs/Chair 2.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/trashbucket.fbx
 0 kb	 0.0% Assets/Resources_moved/Textures/alcoholBottleNorm.png
 0 kb	 0.0% Assets/Resources_moved/Textures/Cannula_Normal.png
 0 kb	 0.0% Assets/Resources_moved/Textures/Flashlight_AO2.png
 0 kb	 0.0% Assets/Resources_moved/Prefabs/Cannula.prefab
 0 kb	 0.0% Assets/Fonts/QUICKSAND-REGULAR.OTF
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/FlashlightGloss.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/Backplate.prefab
 0 kb	 0.0% Assets/Resources_moved/Prefabs/sink_group.prefab
 0 kb	 0.0% Assets/Resources_moved/Textures/MedicineBagNormal.png
 0 kb	 0.0% Assets/Resources_moved/Textures/SolidFloor0.jpg
 0 kb	 0.0% Assets/Scenes/Scenes_WoundCare/Lightmap-4_comp_light.exr
 0 kb	 0.0% Assets/Resources_moved/Prefabs/scissors_bandaging_woundCare_after1SQ.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/catheter_bag_twisted.fbx
 0 kb	 0.0% Assets/Resources_moved/Textures/Wound_Normal_Detailed.png
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/chair fabric2.mat
 0 kb	 0.0% Assets/Resources_moved/Textures/catheter_bag_norm.png
 0 kb	 0.0% Assets/Resources_moved/Textures/syringeBarrelDiff.png
 0 kb	 0.0% Assets/Resources_moved/Textures/Tweezers2_Normal2.png
 0 kb	 0.0% Assets/Resources_moved/Textures/SplitedGauze_Normal.png
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/TwoPartsCannulaTransparent.mat
 0 kb	 0.0% Assets/Resources_moved/Textures/ampoule_02_Diff.png
 0 kb	 0.0% Assets/Resources_moved/Prefabs/SplitedGauze.prefab
 0 kb	 0.0% Assets/Resources_moved/Materials/soap_dispenser/soap_dispenser.001.mat
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Models/Materials/Clipboard.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/BedsorePlaster_CutedCoverLeft.prefab
 0 kb	 0.0% Assets/Resources_moved/Prefabs/HospitalScene_ForExport.prefab
 0 kb	 0.0% Assets/Resources_moved/Prefabs/WallLamp2.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/BrushLashes.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/ClothInHand2.prefab
 0 kb	 0.0% Assets/Resources_moved/Textures/CannulaPacked_Cover_Normal 1.png
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/MedicineHolder.mat
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Materials/pillow.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/NaClBag.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Patient'sUnderwear_Rigged.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/HospitalCurtains.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/Blanket3_Material.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/WheelOuter.mat
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/T-ShirtModel3_low_PatientT-Shirt_var4_AOx2.png
 0 kb	 0.0% Assets/Resources_moved/Textures/trashbucket_norm.png
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/T-ShirtModel3_low_PatientT-Shirt_var5_Height.png
 0 kb	 0.0% Assets/Standard Assets/sky5X/Panorama.mat
 0 kb	 0.0% Assets/Resources_moved/Materials/ampoule_02_Diff.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/SyringeWithAbsorptionNeedle.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/TowelOnBed.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/Cannula_Packed_Base.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/DoserButtons1.mat
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/ButtocksWound_Normal2.png
 0 kb	 0.0% Assets/Resources_moved/Models/HospitalDoors.fbx
 0 kb	 0.0% Assets/Resources_moved/Textures/GreenTowel_N.jpg
 0 kb	 0.0% Assets/Resources/Audio/water_loop.ogg
 0 kb	 0.0% Assets/Resources_moved/Prefabs/Cannula_Packed.prefab
 0 kb	 0.0% Assets/Resources/Animations/rest/LeftHandMask.mask
 0 kb	 0.0% Assets/Resources_moved/Models/catheter_bag.fbx
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Bottle.FBX
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/Socket.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/TrayOfGauzes.prefab
 0 kb	 0.0% Assets/Resources_moved/Textures/StomaPlaster_Normal.png
 0 kb	 0.0% Assets/Resources_moved/Materials/cloth_02.mat
 0 kb	 0.0% Assets/Standard Assets/sky5X/sky5X_textures/skyX53-y.png
 0 kb	 0.0% Assets/Resources/Animations/objects/WoundCareScissorsController.controller
 0 kb	 0.0% Assets/Standard Assets/sky5X/Panorama.jpg
 0 kb	 0.0% Assets/Resources_moved/Models/MedicineBag.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/Handle_material 1.mat
 0 kb	 0.0% Assets/Resources_moved/Textures/noInternet.png
 0 kb	 0.0% Assets/FPArms/Female/Texture Maps/Light/FPArms_Female-Light_COL_jpg0.jpg
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/hygiene_pump_diff.mat
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/TeethTongue_Roughness.png
 0 kb	 0.0% Assets/Resources_moved/Textures/BladderSpoolBag_Normal.png
 0 kb	 0.0% Assets/Resources_moved/Prefabs/BedsorePlaster_CutedCoverMiddle.prefab
 0 kb	 0.0% Assets/Resources_moved/Prefabs/BrushProthesis_Big.prefab
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Prefabs/Switch.prefab
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Tv.FBX
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Textures/water.png
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/Eyes_Normal.png
 0 kb	 0.0% Assets/Resources/Animations/rest/no_internet_animator.controller
 0 kb	 0.0% Assets/Resources_moved/Textures/hygienePumpDiff.png
 0 kb	 0.0% Assets/Resources_moved/Prefabs/CottonSwabStick.prefab
 0 kb	 0.0% Assets/Resources_moved/Textures/ampouleDiff.png
 0 kb	 0.0% Assets/Resources_moved/Textures/fraxi_pakage_norm01.png
 0 kb	 0.0% Assets/Resources_moved/Models/clothInHand_Rigged.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/BladderSpoolBagCap.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/Plate.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/Tablet1Mat.mat
 0 kb	 0.0% Assets/Resources/Sprites/nUI/loadBG.png
 0 kb	 0.0% Assets/Resources_moved/Textures/Cannula_AO.png
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Models/Sink cabinet.FBX
 0 kb	 0.0% Assets/Resources_moved/Textures/t_crosshair5.png
 0 kb	 0.0% Assets/Resources_moved/Models/SplitedGauze.fbx
 0 kb	 0.0% Assets/gui_flat_light/Elements/panels/universal_panel_corner_20px.png
 0 kb	 0.0% Assets/Resources_moved/Prefabs/AbsorptionNeedleNoCap.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/Underwear_Normal.png
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Textures/hospitalwoods.png
 0 kb	 0.0% Assets/Resources/NecessaryPrefabs/UI/SceneloaderCanvas.prefab
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Textures/furniture wood.png
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/BedBorderMainInnerPart.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/ClothInHandOstomyCare.prefab
 0 kb	 0.0% Assets/Resources_moved/Textures/Materials/gloveBox.mat
 0 kb	 0.0% Assets/Resources_moved/Textures/FoodBag1.png
 0 kb	 0.0% Assets/Resources/Animations/objects/BladderSpoolBag.controller
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Textures/bed.png
 0 kb	 0.0% Assets/Loading Screen/Content/Art/Animations/Flash.anim
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/T-ShirtModel3_low_PatientT-Shirt_var5_Metallic.png
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/Holder.mat
 0 kb	 0.0% Assets/Scenes/Scenes_WoundCare/Lightmap-1_comp_light.exr
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/Flashlight.mat
 0 kb	 0.0% Assets/Resources/Animations/objects/SplitGauze.controller
 0 kb	 0.0% Assets/Resources/Models/hl_cone.fbx
 0 kb	 0.0% Assets/Resources_moved/Textures/clothBox_diff.png
 0 kb	 0.0% Assets/Resources_moved/Prefabs/Cloth2.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/ChargingWire.mat
 0 kb	 0.0% Assets/Resources_moved/Textures/trashbucket_diff.jpg
 0 kb	 0.0% Assets/Resources_moved/Prefabs/GauzeFoldedTwice.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/PaperTowelDispenser.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/Cannula_Packed_Cover.mat
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Textures/Bin.png
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/AirBall_New_Ballon.mat
 0 kb	 0.0% Assets/Resources/Models/hl_cone.mat
 0 kb	 0.0% Assets/Resources_moved/Materials/fraxi_pakage 1.mat
 0 kb	 0.0% Assets/Resources_moved/Textures/Doser.jpg
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/mH_WindowCurtains01_Mat02.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/Backplate.mat
 0 kb	 0.0% Assets/Loading Screen/Content/Art/Animations/ContinueButtonStart 1.anim
 0 kb	 0.0% Assets/FPArms/Female/Texture Maps/Light/FPArms_Female-Light_COL.png
 0 kb	 0.0% Assets/Resources_moved/Prefabs/FoodBag1.prefab
 0 kb	 0.0% Assets/Resources_moved/Prefabs/cloth_02_folded.prefab
 0 kb	 0.0% Assets/Resources_moved/Prefabs/cloth_with_tweezers.prefab
 0 kb	 0.0% Assets/Resources_moved/Prefabs/HandCleaner.prefab
 0 kb	 0.0% Assets/Resources/Animations/rest/NoInternet_idle.anim
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/Cannula.mat
 0 kb	 0.0% Assets/Resources/Animations/objects/Blanket3_WoundCare.controller
 0 kb	 0.0% Assets/Resources_moved/Prefabs/MedicineDropper.prefab
 0 kb	 0.0% Assets/Resources_moved/Textures/catheter_cover.jpg
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/DoserMat.mat
 0 kb	 0.0% Assets/Resources_moved/Textures/soap_dispenser_norm.png
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/Underwear_AO.png
 0 kb	 0.0% Assets/Resources_moved/Models/Tweezers2.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/GauzeFoldedTwice.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/BrushProthesis.mat
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Pillow2.FBX
 0 kb	 0.0% Assets/Resources_moved/Textures/Blanket2UV.jpg
 0 kb	 0.0% Assets/Standard Assets/sky5X/sky5X_skyboxes/sky5X3.mat
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/HeadAndFace_RoughnessModified3.png
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/Scissors_Bandaging.mat
 0 kb	 0.0% Assets/Resources/Animations/rest/RightHandMask.mask
 0 kb	 0.0% Assets/Resources_moved/Models/Phone.fbx
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Textures/lamp1.png
 0 kb	 0.0% Assets/Resources_moved/Textures/Wound_Normal_Smoother.png
 0 kb	 0.0% Assets/FPArms/Female/FPArms_Female_LPR_LOD0_A.fbx
 0 kb	 0.0% Assets/Resources_moved/Materials/soap_dispenser/soap_dispenser.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/Window_material.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/SceneLights.prefab
 0 kb	 0.0% Assets/Resources_moved/Prefabs/Empty_Ghost.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/Blanket.mat
 0 kb	 0.0% Assets/Resources_moved/Textures/gloveBox.png
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/BedsorePlasterCover_mat.mat
 0 kb	 0.0% Assets/Resources_moved/Textures/PillowTexture.png
 0 kb	 0.0% Assets/Resources_moved/Textures/AirBall_New_Diff_Transparent.png
 0 kb	 0.0% Assets/Resources_moved/Models/automaticSoapDispansser.fbx
 0 kb	 0.0% Assets/Loading Screen/Content/Art/Animations/SkipTextLoop.anim
 0 kb	 0.0% Assets/Resources/Sprites/logo-CareUp_New_Onlylogo256BG.png
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/trashbucket_diff.mat
 0 kb	 0.0% Assets/Resources_moved/Models/cloth_02_inHands.fbx
 0 kb	 0.0% Assets/Resources_moved/Textures/walkToGroups_labels.png
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/syringePlungerColor.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/Blanket2.prefab
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Materials/pillow2.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/BedsorePlaster_CutedCoverRight.prefab
 0 kb	 0.0% Assets/Resources_moved/Prefabs/SplitWall.prefab
 0 kb	 0.0% Assets/Resources_moved/Prefabs/AirBall_New.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/cloth_02.fbx
 0 kb	 0.0% Assets/Resources_moved/Prefabs/Phone.prefab
 0 kb	 0.0% Assets/Loading Screen/Content/Art/Animations/ContinueButton.controller
 0 kb	 0.0% Assets/Resources_moved/Textures/cloth_norm_02.png
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Models/Bin.FBX
 0 kb	 0.0% Assets/Resources_moved/Prefabs/DesinfectedAmpoule.prefab
 0 kb	 0.0% Assets/FPArms/Female/Texture Maps/Light/FPArms_Female1_NRM.png
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/DoserDisplay.mat
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Materials/Buildings.mat
 0 kb	 0.0% Assets/gui_flat_light/Font/Poppins-MediumItalic.ttf
 0 kb	 0.0% Assets/Resources_moved/Models/BedsorePlaster_CutedCoverMiddle.fbx
 0 kb	 0.0% Assets/Resources_moved/Textures/trashbucket_plastic.png
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Materials/HospitalCeiling.mat
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/embed_hair_male_Diffuse.jpg
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/Eyes_Diffuse.png
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/materials/Patient_male_v3_Underwear.mat
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Models/Materials/chair 2.mat
 0 kb	 0.0% Assets/Standard Assets/Added Models/Prefabs/Cloth/DesinfectedCloth.png
 0 kb	 0.0% Assets/Resources_moved/Prefabs/Alcohol2.prefab
 0 kb	 0.0% Assets/Resources_moved/Prefabs/Blanket.prefab
 0 kb	 0.0% Assets/Resources_moved/Prefabs/Cloth.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/FoodBag1.mat
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Models/Materials/lamp1.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/SideWall.mat
 0 kb	 0.0% Assets/Resources/Animations/objects/BedsorePlaster_OnTable.controller
 0 kb	 0.0% Assets/Resources_moved/Materials/catheter_bag/catheter_bag.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/BrushProthesis_Small.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/DoorMaterial.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/Glass_material.mat
 0 kb	 0.0% Assets/Resources_moved/Models/AirBall_New.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/alcoholBottleDiff.mat
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Textures/metallic.png
 0 kb	 0.0% Assets/Resources/Animations/objects/sink.controller
 0 kb	 0.0% Assets/Resources/Animations/objects/Underwear_WoundCare.controller
 0 kb	 0.0% Assets/Resources_moved/Prefabs/cloth_02.prefab
 0 kb	 0.0% Assets/Resources/Audio/Menu/Button_Click.wav
 0 kb	 0.0% Assets/gui_flat_light/Font/Poppins-SemiBoldItalic.ttf
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/TrayWetCloth.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/HospitalPanorama.prefab
