User Name,Blaaskatheterisatie_bij_een_vrouw._verblijfskatheter_,Injecteren_intramusculair(loodrechttechniek)_-_Medicijn_in_ampul,Injecteren_intramusculair(loodrechttechniek)_-_Medicijn_in_flacon,Injecteren_subcutaan_(huidplooitechniek)_-_Medicijn_in_flacon,Techniek_handdesinfectie_,Techniek_handreiniging_,Injecteren_insuline_met_navulbare_insulinepen,Blaaskatheterisatie_bij_een_man._verblijfskatheter,Blaaskatheterisatie_bij_een_vrouw._verblijfskatheter,Blaasspoelen_met_spoelzakje_via_verblijfskatheter,Bloedglucosewaarde_meten_via_vingerprik_en_bloedglucosemeter,Covid-19-vaccin_van_Pfizer-BioNtech_injecteren,Inbrengen_neusmaagsonde,Inbrengen_Saf-T-Intima_subcutane_infuuscanule,Injecteren_intramusculair(loodrechttechniek)_-_Ampul,Injecteren_intramusculair(loodrechttechniek)_-_Flacon,Injecteren_intramusculair(loodrechttechniek)_-_Oplossing,Injecteren_intramusculair_(loodrechttechniek),Injecteren_subcutaan_(huidplooitechniek),Injecteren_subcutaan_(huidplooitechniek)_-_Ampul,Injecteren_subcutaan_(huidplooitechniek)_-_Flacon,Injecteren_subcutaan_(huidplooitechniek)_-_Oplossing,Injecteren_subcutaan_(loodrechttechniek_-_Fraxiparine),Subcutaan_injecteren_met_insulinepen,Suertubular_Exchange,Techniek_handdesinfectie,Techniek_handreiniging,Toedienen_medicijnen_in_wangzak,Toedienen_medicijnen_onder_tong,Toedienen_medicijnen_onder_tong_,Toedienen_medicijnen_via_Saf-T-Intima_subcutane_infuuscanule,Verwisselen_huidplaat_en_stomazakje_eendelig_systeem,Verwisselen_huidplaat_en_stomazakje_tweedelig_systeem,Verwisselen_suprapubische_verblijfskatheter,Voorbereiden_medicijn_injecteren_ampul,Voorbereiden_medicijn_injecteren_flacon,Voorbereiden_medicijn_injecteren_oplossing,Blaaskatheterisatie_bij_een_man._verblijfskatheter_,Injecteren_intramusculair(loodrechttechniek)_-_Medicijn_oplossing,Injecteren_subcutaan_(huidplooitechniek)_-_Medicijn_in_ampul,Bloedglucosewaarde_meten_via_vingerprik,Reanimatie_met_AED_(1_persoon),Injecteren_subcutaan_(huidplooitechniek)_-_Medicijn_oplossing,Techniek_handdesinfectie_met_handalcohol,Techniek_handen_wassen_met_water_en_zeep,Toedienen_medicijnen_via_subcutane_infuuscanule_bolusinjectie,Zwachtelen_onderbeen_met_korte_rek_zwachtels,Covid-19-vaccin_van_Moderna_injecteren,Intramusculair_injecteren_(2021-P),Inbrengen_Saf-T-Intima_subcutane_infuuscanule_,111Techniek_handdesinfectie,221Techniek_handdesinfectie,Injection_test,Injecteren_intramusculair_(loodrechttechniek)_-_Ampul,Injecteren_intramusculair_(loodrechttechniek)_-_Oplossing,Intramusculair_injecteren_(2021-M),Toedienen_voeding_via_neus-maagsonde_met_pomp,Binnencanule_van_tracheacanule_reinigen,Inbrengen_canule_perifeer_infuus,Insert_Infusion,Toedienen_medicijnen_via_PEG-sonde,Administer_nutrition_via_gastric_tube_with_pump,Bandaging,EarSyringing,PEG,Scenes_Ostomy_Care_One_Part_System,Voorbereiden_medicijn_injecteren_flacon_INHOUSE,Intramusculair_injecteren_(2021),
11151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,
11202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,
11224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,
11241,,,,,,,,,,,,,,,,,,92,92,,,,,,,,,90,95,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,
11319,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11364,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,
11369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,
11375,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,
11473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,
11523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,
11531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,84,,,,,,,,,,,,,,,,,,,,,,,,
11598,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,
11719,,,,,,,,,,,,90,,,,,,91,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,
11738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,
11749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,92,,,,,,,,,,,,,,,,,,,,,,,,
11786,,,,,,,,,,,,,,,,,,88,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11883,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11897,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,
11989,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,76,,,,,,,,,,,,,,,,,,,,,,,,
12049,,,,,,,,,,,,81,,,,,,20,,,,,,76,,,,,,,,,,,,,,,,,,,,,84,,,73,,,,,,,,,,,,,,,,,,,,,
12091,,,,,,,,92,,,,,,,,,,100,,,,,,97,,,,86,,,,93,86,96,,,,,,,88,,,,,,,,,,,,,,,,,93,,,,,,,,,,,
12133,,,,,,,,,,,,,,,,,,84,92,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12162,,,,,,,,,,96,,,95,,,,,,,,,,,94,,,,100,95,,,,,,,,,,,,100,,,,,,93,,,,,,,,,,,,,,,,,,,,,,
12166,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12201,,,,,,,,,,93,,,95,,,,,,,,,,,97,,,,90,,,,,,,,,,,,,100,,,,,,97,,,,,,,,,,,,,,,,,,,,,,
12208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,
12209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,
12210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,
12212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,100,,,,,,,,,,,,,,,,,,,,,,,,
12213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,92,,,,,,,,,,,,,,,,,,,,,,,,
12214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,
12253,,,,,,,,,,96,,,100,,,,,,96,,,,100,97,,,,95,95,,,,,,,,,,,,100,,,100,,,95,,,,,,,,,,,,,,,,,,,,,,
12255,,,,,,,,,,89,,,72,,,,,,,,,,,85,,,,,,,,,,,,,,,,,88,,,,,,88,,,,,,,,,,,,,,,,,,,,,,
12256,,,,,,,,,,96,,,89,,,,,,,,,,,94,,,,100,95,,,,,,,,,,,,96,,,,,,97,,,,,,,,,,93,,,,,,,,,,,,
12257,,,,,,,,,,75,,,91,,,,,,84,,,,,85,,,,95,,,,,,,,,,,,,96,,,,,,93,,,,,,,,,,,,,,,,,,,,,,
12258,,,,,,,,,,79,,,85,,,,,,,,,,,88,,,,95,,,,,,,,,,,,,88,,,,56,,84,,,,,,,,,,,,,,,,,,,,,,
12352,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12532,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12706,,,,,,,,,,93,,,80,,,,,,,,,,,97,,,,90,95,,,,,,,,,,,,96,,,,,,84,,,,,,,,,,,,,,88,,,,,,,,
12712,,,,,,,,,,100,,,76,,,,,100,,,,,,94,,,,95,,,,,,,,,,,,,96,,,,,,100,,,,,,,,,,,,,,,,,,,,,,
12785,,,,,,,,83,91,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12835,,,,,,,,,,79,,,89,,,,,,84,,,,91,100,,,,,,,,,,,,,,,,,92,,,,,,91,,,,,,,,,,,,,,100,,,,,,,,
12836,,,,,,,,,,89,,,85,,,,,,,,,,,82,,,,95,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12837,,,,,,,,,,82,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,88,,,,,,77,,,,,,,,,,,,,,,,,,,,,,
12841,,,,,,,,,,89,,,87,,,,,,,,,,,85,,,,100,100,,,96,,,,,,,,,88,,,,,,77,,,,,,,,,,,,,,80,,,,,,,,
12842,,,,,,,,,,96,,,85,,,,,,,,,,,91,,,,,,,,,,,,,,,,,92,,,,,,88,,,,,,,,,,,,,,,,,,,,,,
12843,,,,,,,,,,93,,,89,,,,,,84,,,,,88,,,,95,85,,,,,,,,,,,,96,,,,,,84,,,,,,,,,,,,,,100,,,,,,,,
12844,,,,,,,,,,93,,95,97,,,,,100,92,,,,,97,,,,100,95,,,93,,,,,,,,,92,,,,,,93,95,,,,,,,,,,,,,97,,,,,,,,
12846,,,,,,,,,,100,,86,82,,,,,,100,,,,95,91,,,,100,95,,,,,,96,96,88,,,,84,,,77,84,,100,,,,,,,,,,,,,,97,,,,,,,,
12848,,,,,,,,,,93,,,95,,,,,,,,,,,94,,,,,,,,93,,,,,,,,,100,,,,,,97,,,,,,,,,,,,,,,,,,,,,,
12849,,,,,,,,,,86,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12850,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12851,,,,,,,,,,82,,13,72,,,,,,,,,,,,,,,72,90,,,,,,,,,,,,80,,,,,,79,,,,,,,,,,77,,,,,,,,,,,,
12852,,,,,,,,,,86,,81,87,,,,,,,,,,100,97,,,,100,95,,,,,,,,,,,,92,,,,62,,91,,,,,,,,,,,,,,,,,,,,,,
12888,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12892,,,,,,,,,,,,,,,,,,100,100,,,,,97,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12909,,,,,,,,90,83,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,100,,,,,,,,,,,,,,,,,,,,,,,,
12941,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12952,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12991,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13246,,,,,,,,90,81,93,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,84,,,,,,,,,,,,,,,,,76,,,,,,,,,,,
13439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13461,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13780,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,
13801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,
13816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,92,,,,,,,,,,,,,,,,,,,,,,,,
13824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,
13839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,92,,,,,,,,,,,,,,,,,,,,,,,,
14053,,,,,,,,100,100,100,,,,,,,,100,100,,,,95,100,,,,,,,,,,,,,,,,,100,100,,100,100,,,,,,,,,,,,,,,,,,,,,,,,
14055,,,,,,,,,,89,,,85,,,,,,,,,,,,,,,100,95,,,,,,,,,,,,96,,,,,,86,,,,,,,,,,,,,,,,,,,,,,
14070,,,,,,,,,,79,,,,,,,,,,,,,,100,,,,95,95,,,,,,,,,,,,96,100,,,,,100,,,,,,,,,,86,,,,,,,,,,,,
14161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,
14183,,,,,,,,,89,93,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,96,94,,100,100,,95,,,,,,,,,,,,,,,,,,,,,,
14209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,
14223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,
14228,,,,,,,,,,89,,,91,,,,,,100,,,,,97,,,,95,100,,,,,,,,,,,,88,,,,,,93,,,,,,,,,,95,,,,,,,,,,,,
14230,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14232,,,,,,,,,,93,,,,,,,,,100,,,,91,100,,,,100,100,,,,,,96,93,85,,,,96,,,,,,93,,,,,,,,,,88,,,,,,,,,,,,
14278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,
14279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,
14280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,
14281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,
14291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,92,,,,,,,,,,,,,,,,,,,,,,,,
14328,,,,,,,,96,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,
14413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,
14645,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14646,,,,,,,,98,100,100,,,,,,,,96,96,,,,91,97,,,,,,,,,90,,,,,,,,92,100,,,,,93,,,,,,,,,,,,,,,,,,,,,,
14647,,,,,,,,94,96,93,,,,,,,,96,100,,,,100,100,,,,,,,,,,,,,,,,,100,,,,,,95,,,,,,,,,,,,,,,,,,,,,,
14648,,,,,,,,94,94,89,,,,,,,,100,92,,,,100,94,,,,,,,,,,,,,,,,,92,88,,,,,,,,,,,,,,,,,,,,,,,,,,,
14649,,,,,,,,87,100,75,,,,,,,,92,92,,,,95,91,,,,95,95,,,,,,,,,,,,92,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
14650,,,,,,,,96,91,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14651,,,,,,,,96,96,93,,,,,,,,100,96,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14654,,,,,,,,89,89,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
14758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14897,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
14943,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14944,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14951,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14952,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14954,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14969,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14970,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14971,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14974,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14975,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14976,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,
15021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,84,,,,,,,,,,,,,,,,,,,,,,,,
15037,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15038,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,
15119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,
